id,start_pattern,end_pattern,instructions,time,date
aae298c543f944f8befa8e8c91b7eb7e,DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,D2 R7 D7 F2 B1 D1 R2 D2 R7 F2 D7 F2 U7 B2 L2 U2 D1 R2 U1,self._programStartTime,self._
9f0785f726754157adf329d995b87332,DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,D2 R7 D7 F2 B1 D1 R2 D2 R7 F2 D7 F2 U7 B2 L2 U2 D1 R2 U1,1942303524,"06/19/2020, 15:41:59"
19b6e8329bac45df9a429d2ab13ca681,DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,D2 R7 D7 F2 B1 D1 R2 D2 R7 F2 D7 F2 U7 B2 L2 U2 D1 R2 U1,1942371137,"06/19/2020, 15:47:36"
233dfa5562e3431197575f69b37c4648,DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,D2 R7 D7 F2 B1 D1 R2 D2 R7 F2 D7 F2 U7 B2 L2 U2 D1 R2 U1,14364,"06/19/2020, 15:56:41"
ef02743e995b44f9a76ca687f35d6986,BUDBUUFFLBRFFRBURBRDUUFLLFLDRFDDBRBRRLDLLFURBLLUDBDDUF,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,U1 L1 U7 R7 D7 F2 D2 L7 D7 F7 R2 U7 R2 L2 U2 L2 D7 L2 U1 L2,1590986075906.8987,"06/19/2020, 15:57:27"
c9cf83d5dd9549bd8020b0adce24717f,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,9221,"06/19/2020, 15:58:26"
3e257eeaf5d3496c846f874a76413f1b,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,9222,"06/19/2020, 15:58:45"
59c0a3aec66a4fa18e01cf0b7b5d0ca3,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,9222,"06/19/2020, 16:00:06"
80d1775187cb469cb5ade59804cd4e6b,DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,D2 R7 D7 F2 B1 D1 R2 D2 R7 F2 D7 F2 U7 B2 L2 U2 D1 R2 U1,32606,"12/27/2020, 21:26:55"
76b9bddcf4dd490b816dbd8838914e27,DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,D2 R7 D7 F2 B1 D1 R2 D2 R7 F2 D7 F2 U7 B2 L2 U2 D1 R2 U1,32608,"01/13/2021, 14:38:22"
12c91771aac74963a628642f64b27396,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,20403,"01/13/2021, 14:38:42"
62641ab67c6d488b99f759692024d129,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,20405,"01/13/2021, 14:41:59"
b93df4b733834e4e91a11310802eef53,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,20404,"01/13/2021, 14:42:32"
8d9c164733ab4bfa93b083444d6a985f,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB,R1 L1 U2 R1 L7 B2 U2 R2 F2 L2 D2 L2 F2,20403,"01/13/2021, 14:45:34"
